name,ticker,year,controversy,environment,social,governance,annual_return,sd
INTERCONTINENTAL EX.,ICE,2022,87.798129,51.999175,57.988306,61.973011,0.199669,0.274551
IDEXX LABORATORIES,IDXX,2022,98.336262,46.697383,60.462506,54.312884,0.201787,0.280067
IDEX,IEX,2022,97.162561,45.434757,43.879298,60.325552,0.135247,0.230258
INTL.FLAVORS & FRAG.,IFF,2022,88.464403,79.356427,73.651649,78.864532,0.090888,0.212628
ILLUMINA,ILMN,2022,71.211336,43.675118,67.440343,30.838632,0.156407,0.417154
INCYTE,INCY,2022,100.0,28.963699,43.101503,57.509302,0.014022,0.36946
INTEL,INTC,2022,50.922702,90.548753,85.806827,86.482533,0.081505,0.275174
INTUIT,INTU,2022,79.827672,67.24597,83.29449,70.381015,0.171895,0.239506
INVITATION HOMES,INVH,2022,100.0,20.071002,51.577492,49.672719,0.07611,0.20128
INTERNATIONAL PAPER,IP,2022,84.901914,69.447628,69.619141,57.869137,0.028807,0.302793
INTERPUBLIC GROUP,IPG,2022,86.55575,52.773709,64.461359,59.328605,0.029152,0.31384
IQVIA HOLDINGS,IQV,2022,97.662121,47.390706,76.699187,35.666145,0.174457,0.254269
INGERSOLL RAND,IR,2022,100.0,30.519807,50.990363,41.001701,0.125427,0.32471
IRON MOUNTAIN,IRM,2022,93.293833,70.509022,70.331604,69.564291,0.130122,0.25748
INTUITIVE SURGICAL,ISRG,2022,94.506852,24.78925,38.200349,77.072538,0.225368,0.330357
GARTNER 'A',IT,2022,100.0,25.728924,52.35334,76.042303,0.258521,0.254102
ILLINOIS TOOL WORKS,ITW,2022,98.388196,44.745921,52.995599,65.901141,0.121692,0.209771
INVESCO,IVZ,2022,98.40422,44.841949,64.808403,67.766467,0.021133,0.356435
JACOBS SOLUTIONS,J,2022,85.401967,65.890305,71.531985,58.909007,0.104466,0.286093
HUNT JB TRANSPORT SVS.,JBHT,2022,98.465604,49.163747,59.726009,64.733353,0.143701,0.252219
JOHNSON CONTROLS INTL.,JCI,2022,75.149409,93.475004,91.483768,45.314219,0.075941,0.280976
JACK HENRY AND ASSOCIATES,JKHY,2022,96.026781,8.606873,41.238517,38.821919,0.126913,0.192154
JOHNSON & JOHNSON,JNJ,2022,9.524917,91.922008,94.712403,67.594187,0.074318,0.150247
JUNIPER NETWORKS,JNPR,2022,81.805654,78.764748,69.320239,62.063211,0.034989,0.327799
JP MORGAN CHASE & CO.,JPM,2022,8.96164,75.627239,81.834182,78.699956,0.104505,0.270823
KELLANOVA,K,2022,71.804603,74.60423,84.31572,61.882361,0.05644,0.152924
KEURIG DR PEPPER,KDP,2022,95.622992,64.485099,61.449378,68.005955,0.206277,0.20423
KEYCORP,KEY,2022,82.853624,60.825151,65.949483,73.478598,0.009489,0.298984
KEYSIGHT TECHNOLOGIES,KEYS,2022,100.0,83.389306,89.310235,41.989058,0.187928,0.273475
KRAFT HEINZ,KHC,2022,50.350432,58.261238,60.772749,63.01816,-0.040754,0.26861
KIMCO REALTY,KIM,2022,100.0,64.818592,75.94444,75.189885,0.070776,0.282564
KLA,KLAC,2022,98.963405,45.217667,57.022616,60.049738,0.150643,0.325446
KIMBERLY-CLARK,KMB,2022,86.563027,60.054496,75.291478,77.654622,0.075455,0.149111
KINDER MORGAN,KMI,2022,75.54153,69.675249,70.10676,67.433321,-0.001907,0.244487
CARMAX,KMX,2022,97.370132,25.061319,48.588112,65.904752,0.087742,0.347534
COCA COLA,KO,2022,32.315688,66.191128,82.518219,72.349403,0.071364,0.152047
KROGER,KR,2022,49.613646,73.667572,76.986086,72.318786,0.084491,0.233749
LOEWS,L,2022,99.566578,33.966723,32.111064,46.114978,0.016217,0.21177
LEIDOS HOLDINGS,LDOS,2022,90.178118,69.242247,87.69382,73.321429,0.083377,0.243579
LENNAR 'A',LEN,2022,95.273413,22.854416,22.585751,27.938467,0.116311,0.365389
LABORATORY CORP.OF AM. HDG.,LH,2022,88.157732,40.438405,74.88591,65.335923,0.082728,0.216893
L3HARRIS TECHNOLOGIES,LHX,2022,100.0,41.987985,54.904351,60.383812,0.13181,0.248278
LINDE (NYS),LIN,2022,85.422197,88.101186,90.948701,58.305306,0.146611,0.182521
LKQ,LKQ,2022,99.189554,17.633814,23.690216,45.93465,0.154113,0.266625
ELI LILLY,LLY,2022,66.060893,78.197196,82.856505,39.090895,0.119328,0.219526
LOCKHEED MARTIN,LMT,2022,70.0402,81.862205,70.380477,68.705018,0.13822,0.197333
ALLIANT ENERGY (XSC),LNT,2022,98.690182,66.498891,39.500482,59.986753,0.123392,0.168133
LOWE'S COMPANIES,LOW,2022,83.145201,72.557744,78.945159,69.932625,0.123986,0.272904
LAM RESEARCH,LRCX,2022,89.663635,59.665835,67.184763,50.005745,0.246399,0.319331
LULULEMON ATHLETICA,LULU,2022,85.332271,39.116079,34.536134,48.363971,0.231286,0.383615
SOUTHWEST AIRLINES,LUV,2022,49.210756,78.850068,70.981081,47.671347,0.025798,0.313609
LAS VEGAS SANDS,LVS,2022,83.250906,74.583212,46.888203,51.638578,0.02204,0.463391
LAMB WESTON HOLDINGS,LW,2022,100.0,47.240655,45.999344,77.426345,0.177166,0.281387
LYONDELLBASELL INDS.CL.A,LYB,2022,91.903733,59.911781,59.034594,78.298807,0.134921,0.297626
LIVE NATION ENTM.,LYV,2022,61.775581,11.890247,39.048317,47.599275,0.152412,0.298899
MASTERCARD,MA,2022,34.595078,62.318314,68.435587,63.682858,0.256229,0.238588
MID-AMER.APT COMMUNITIES,MAA,2022,100.0,34.355665,57.452557,68.253063,0.168311,0.188439
MARRIOTT INTL.'A',MAR,2022,41.976275,77.096454,78.062504,66.174657,0.141863,0.266974
