ticker,controversy,environment,social,governance,human_rights,community,workforce,product_responsibility,shareholders,management
ITW,98.2591,45.78,53.5799,65.0867,44.7817,72.9059,56.8158,45.8545,64.5404,70.0495
IVZ,98.2785,44.7434,64.5257,65.8979,1.0548,80.1805,74.4973,44.0173,68.9215,66.2437
J,82.9425,65.7807,72.1419,58.362,65.7138,77.7729,70.043,81.76,26.4544,68.1732
JBHT,98.4485,50.1596,60.8561,64.9113,29.2246,88.321,63.1085,54.4964,83.4153,63.9248
JCI,71.5783,93.3702,91.7363,44.4107,85.8826,96.2879,96.5668,90.2452,71.3997,27.0698
JKHY,96.1196,11.7898,44.8288,40.9558,39.9982,56.0138,41.5197,34.242,87.4976,28.8885
JNJ,9.5026,91.9307,94.4851,68.6023,92.4145,94.98,96.283,94.8453,72.8023,62.5622
JNPR,84.5992,78.3065,68.811,61.4984,40.4636,73.1903,69.5023,75.0115,47.2469,64.7452
JPM,8.7472,76.3024,81.3031,78.0884,90.5299,86.5214,77.5265,72.3611,39.3898,88.5083
K,69.402,74.7768,83.8301,60.7718,68.4376,94.5802,80.9906,93.1879,29.5403,64.6397
